task,parents,category,start,end,effort,ishabit,tags
Publish paper on HAL,Misc [56%],,2020-01-22 13:13,2020-01-22 13:13,,,
Publish paper on HAL,Misc [56%],,2020-01-22 08:06,2020-01-22 09:06,,,
Work on writing a report for SSCI 2019,Misc [56%],,2020-01-03 12:50,2020-01-03 14:30,,,
Publish about the best paper award,Misc [56%],,2019-12-16 11:05,2019-12-16 11:13,,,
Prepare draft GDoc,Misc [56%]/Publish about the best paper award,,2019-12-16 09:27,2019-12-16 10:26,,,
Prepare draft GDoc,Misc [56%]/Publish about the best paper award,,2019-12-13 12:24,2019-12-13 16:16,,,
Prepare draft GDoc,Misc [56%]/Publish about the best paper award,,2019-12-12 15:58,2019-12-12 16:18,,,
Prepare draft GDoc,Misc [56%]/Publish about the best paper award,,2019-12-12 13:20,2019-12-12 13:47,,,
Prepare draft GDoc,Misc [56%]/Publish about the best paper award,,2019-12-12 11:24,2019-12-12 12:05,,,
Make the automata viz capable of outputing white,Misc [56%],,2019-12-16 08:30,2019-12-16 09:22,,,
Store map files as compressed,Misc [56%],,2019-11-29 14:20,2019-11-29 16:20,,,
Prepare SSCI presentation,Paper structural complexity in Complex Systems [100%],,2019-12-03 15:00,2019-12-03 16:27,,,
Prepare SSCI presentation,Paper structural complexity in Complex Systems [100%],,2019-12-03 07:45,2019-12-03 10:39,,,
Prepare SSCI presentation,Paper structural complexity in Complex Systems [100%],,2019-12-02 14:18,2019-12-02 15:52,,,
Prepare SSCI presentation,Paper structural complexity in Complex Systems [100%],,2019-12-02 09:26,2019-12-02 10:35,,,
Prepare SSCI presentation,Paper structural complexity in Complex Systems [100%],,2019-12-02 08:20,2019-12-02 09:17,,,
Prepare SSCI presentation,Paper structural complexity in Complex Systems [100%],,2019-11-29 08:30,2019-11-29 10:10,,,
Prepare SSCI presentation,Paper structural complexity in Complex Systems [100%],,2019-11-28 14:34,2019-11-28 18:01,,,
Prepare SSCI presentation,Paper structural complexity in Complex Systems [100%],,2019-11-27 09:30,2019-11-27 11:15,,,
Prepare SSCI presentation,Paper structural complexity in Complex Systems [100%],,2019-11-26 09:35,2019-11-26 10:31,,,
Prepare SSCI presentation,Paper structural complexity in Complex Systems [100%],,2019-11-25 17:57,2019-11-25 18:10,,,
Prepare SSCI presentation,Paper structural complexity in Complex Systems [100%],,2019-11-22 09:32,2019-11-22 11:17,,,
Prepare SSCI presentation,Paper structural complexity in Complex Systems [100%],,2019-11-21 08:50,2019-11-21 09:36,,,
Write the script,Paper structural complexity in Complex Systems [100%]/Prepare SSCI presentation,,2019-11-26 09:19,2019-11-26 09:35,,,
Repository,Paper structural complexity in Complex Systems [100%]/Paper repository & website,,2019-11-29 16:24,2019-11-29 16:29,,,
Repository,Paper structural complexity in Complex Systems [100%]/Paper repository & website,,2019-11-25 17:07,2019-11-25 17:35,,,
Repository,Paper structural complexity in Complex Systems [100%]/Paper repository & website,,2019-11-22 14:03,2019-11-22 15:19,,,
Finish README,Paper structural complexity in Complex Systems [100%]/Paper repository & website/Repository,,2019-11-21 17:15,2019-11-21 17:21,,,
Finish README,Paper structural complexity in Complex Systems [100%]/Paper repository & website/Repository,,2019-11-21 14:01,2019-11-21 16:32,,,
Finish README,Paper structural complexity in Complex Systems [100%]/Paper repository & website/Repository,,2019-11-21 11:38,2019-11-21 12:20,,,
Fix the C code,Paper structural complexity in Complex Systems [100%]/Make results reproducible/Make code publishable,,2019-11-22 09:22,2019-11-22 09:29,,,
Make script to extract results,Paper structural complexity in Complex Systems [100%]/Make results reproducible,,2019-11-21 10:22,2019-11-21 11:11,,,
Make script to extract results,Paper structural complexity in Complex Systems [100%]/Make results reproducible,,2019-11-21 10:04,2019-11-21 10:19,,,
Make the script to compute results,Paper structural complexity in Complex Systems [100%]/Make results reproducible,,2019-11-20 17:51,2019-11-20 18:03,,,
Make the script to compute results,Paper structural complexity in Complex Systems [100%]/Make results reproducible,,2019-11-20 17:39,2019-11-20 17:46,,,
Make the script to compute results,Paper structural complexity in Complex Systems [100%]/Make results reproducible,,2019-11-20 17:11,2019-11-20 17:37,,,
Make the script to compute results,Paper structural complexity in Complex Systems [100%]/Make results reproducible,,2019-11-20 16:18,2019-11-20 17:02,,,
Make the script to compute results,Paper structural complexity in Complex Systems [100%]/Make results reproducible,,2019-11-20 16:03,2019-11-20 16:13,,,
Make the script to compute results,Paper structural complexity in Complex Systems [100%]/Make results reproducible,,2019-11-20 15:08,2019-11-20 15:35,,,
